CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2011-2984,1.0,3.6.19,"[[datetime.datetime(2010, 6, 15, 8, 32), datetime.datetime(2011, 8, 1, 15, 4), u'Security', []]]"
CVE-2011-2983,1.0,3.6.19,"[[datetime.datetime(2011, 1, 16, 18, 0), datetime.datetime(2011, 4, 15, 16, 46), u'JavaScript Engine', [u'(firefox7- unaffected', u' firefox8- unaffected', u' firefox9- unaffected']]]"
CVE-2011-2982,1.0,3.6.19,"[[datetime.datetime(2010, 1, 21, 16, 20), datetime.datetime(2010, 3, 26, 16, 6), u'JavaScript Engine', []], [datetime.datetime(2011, 3, 18, 18, 27), datetime.datetime(2011, 6, 1, 12, 52), u'XUL', [u'(firefox5- unaffected', u' firefox6- unaffected', u' firefox7 unaffected']], [datetime.datetime(2011, 7, 27, 8, 36), datetime.datetime(2011, 7, 27, 14, 26), u'JavaScript Engine', [u'(firefox5 unaffected', u' firefox6 unaffected', u' firefox7 unaffected', u' firefox8 unaffected', u' firefox9 unaffected', u' firefox10 unaffected']], [datetime.datetime(2011, 2, 7, 15, 4), datetime.datetime(2011, 7, 13, 17, 25), u'JavaScript Engine', []], [datetime.datetime(2010, 12, 1, 13, 4), datetime.datetime(2011, 7, 27, 16, 0), u'JavaScript Engine', [u'(firefox5- unaffected', u' firefox6- unaffected', u' firefox7- unaffected', u' firefox8- unaffected', u' firefox9- unaffected', u' firefox10- unaffected']]]"
CVE-2011-2981,1.0,3.6.19,"[[datetime.datetime(2011, 4, 15, 6, 42), datetime.datetime(2011, 11, 9, 15, 21), u'Security', [u'(firefox5 unaffected', u' firefox7- unaffected', u' firefox8- unaffected', u' firefox9- unaffected', u' firefox10- unaffected']], [datetime.datetime(2011, 3, 21, 9, 51), datetime.datetime(2011, 6, 6, 13, 47), u'Security', []], [datetime.datetime(2010, 11, 22, 19, 31), datetime.datetime(2011, 6, 6, 13, 46), u'DOM', []]]"
CVE-2011-2980,1.0,3.6.19,"[[datetime.datetime(2011, 3, 17, 9, 7), datetime.datetime(2011, 7, 19, 12, 26), u'Document Navigation', []]]"
CVE-2011-2605,1.0,4.0.1,"[[datetime.datetime(2011, 3, 18, 17, 21), datetime.datetime(2011, 5, 10, 16, 49), u'Networking: Cookies', [u'(firefox5 fixed']]]"
CVE-2011-2598,4.0,4.0.1,[]
CVE-2011-2378,1.0,3.6.19,"[[datetime.datetime(2011, 4, 6, 11, 54), datetime.datetime(2011, 7, 22, 18, 52), u'DOM: Core & HTML', [u'(firefox5- unaffected', u' firefox6- unaffected', u' firefox7- unaffected', u' firefox8- unaffected', u' firefox9- unaffected']]]"
CVE-2011-2377,1.0,4.0.1,"[[datetime.datetime(2011, 3, 1, 22, 49), datetime.datetime(2011, 6, 13, 23, 45), u'General', [u'(firefox5- fixed', u' firefox6- fixed', u' firefox7- fixed']], [datetime.datetime(2011, 3, 6, 6, 13), datetime.datetime(2011, 4, 8, 15, 57), u'ImageLib', [u'(firefox5+ fixed', u' firefox6+ fixed']]]"
CVE-2011-2376,1.0,3.6.17,"[[datetime.datetime(2011, 4, 18, 11, 31), datetime.datetime(2011, 5, 16, 15, 20), u'JavaScript Engine', [u'(firefox5- unaffected', u' firefox6- unaffected', u' firefox7- unaffected']], [datetime.datetime(2011, 2, 18, 7, 10), datetime.datetime(2011, 2, 18, 18, 31), u'JavaScript Engine', []]]"
